URL;1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9;1.10;1.11;1.12;1.13;1.14;2.1;2.2;2.3;2.4;2.5;2.6;Fallos Nivel A;Fallos Nivel AA;Puntuación Media;Tipo
https://www.taxi-rincon.es;1 P;1 P;0 F;- P;0 F;0 F;0 F;1 P;- P;- P;1 P;0 F;1 P;1 P;0 F;0 F;0 F;0 F;0 F;1 P;5;5;4.1;PRI
https://www.aluminiosalaez.es;1 P;0 F;1 P;- P;0 F;0 F;0 F;1 P;1 P;1 P;0 F;0 F;1 P;0 F;0 F;1 P;1 P;0 F;0 F;1 P;7;3;4.7;PRI
https://naturalfire.es;1 P;0 F;1 P;- P;1 P;0 F;0 F;1 P;1 P;- P;0 F;0 F;1 P;0 F;0 F;0 F;1 P;0 F;0 F;1 P;6;4;4.4;PRI
https://mpt.gob.es/index.html;1 P;1 P;1 P;1 P;1 P;1 P;0 F;1 P;1 P;1 P;0 F;0 F;1 P;0 F;0 F;1 P;1 P;1 P;1 P;1 P;4;1;7.5;PUB
https://administracion.gob.es;1 P;0 F;1 P;- P;1 P;1 P;0 F;1 P;1 P;1 P;1 P;0 F;1 P;1 P;0 F;1 P;1 P;1 P;1 P;1 P;3;1;7.9;PUB
https://administracionelectronica.gob.es/pae_Home;0 F;1 P;1 P;1 P;1 P;1 P;0 F;1 P;1 P;1 P;0 F;0 F;1 P;0 F;0 F;1 P;1 P;1 P;1 P;1 P;5;1;7;PUB
https://bonoculturajoven.gob.es;0 F;0 F;1 P;- P;1 P;1 P;0 F;1 P;- P;- P;1 P;0 F;1 P;1 P;0 F;1 P;1 P;0 F;1 P;1 P;4;2;6.5;PUB
https://transparencia.gob.es;1 P;1 P;0 F;- P;1 P;0 F;0 F;1 P;1 P;1 P;1 P;0 F;1 P;0 F;0 F;1 P;1 P;1 P;0 F;1 P;5;2;6.3;PUB
https://sede.imserso.gob.es;1 P;1 P;1 P;- P;1 P;1 P;0 F;1 P;1 P;1 P;1 P;1 P;1 P;1 P;0 F;1 P;1 P;1 P;1 P;1 P;1;1;8.9;PUB
https://www.consejodetransparencia.es/ct_Home/index.html;0 F;1 P;0 F;0 F;1 P;1 P;0 F;1 P;0 F;1 P;1 P;0 F;1 P;0 F;0 F;1 P;1 P;1 P;0 F;1 P;7;2;5.5;PUB
https://energia.gob.es/es-es/Paginas/index.aspx;1 P;1 P;1 P;- P;1 P;1 P;0 F;1 P;1 P;1 P;1 P;1 P;1 P;1 P;0 F;1 P;1 P;1 P;1 P;1 P;1;1;8.9;PUB
https://www.defensa.gob.es;1 P;1 P;1 P;- P;1 P;0 F;0 F;1 P;1 P;1 P;1 P;1 P;0 F;1 P;0 F;1 P;1 P;1 P;0 F;1 P;3;2;7.4;PUB
https://www.inmujeres.gob.es;0 F;0.5 P;1 P;- P;0 F;1 P;0 F;1 P;- P;- P;1 P;0 F;1 P;1 P;0 F;1 P;1 P;1 P;1 P;1 P;4;1;6.5;PUB
https://universidades.sede.gob.es;1 P;1 P;1 P;- P;1 P;1 P;0 F;1 P;- P;- P;1 P;0 F;1 P;1 P;0 F;0 F;1 P;0 F;1 P;1 P;2;3;7.1;PUB
https://www.universidades.gob.es;0 F;0 F;1 P;- P;1 P;0 F;0 F;1 P;0 F;0 F;0 F;0 F;1 P;0 F;0 F;0 F;1 P;1 P;0 F;1 P;9;3;3.7;PUB
https://www.aica.gob.es;0 F;1 P;1 P;- P;0 F;1 P;0 F;0 F;0 F;1 P;1 P;0 F;1 P;0 F;0 F;1 P;1 P;1 P;1 P;1 P;7;1;5.8;PUB
